---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   naughty_bell
Pipeline_session:   105b986c-5442-4e28-9b5d-9776c6083e07
Pipeline_duration:  36713
Pipeline_datastrt:  2024-04-03T11:41:07.555953+01:00
Pipeline_datecomp:  2024-04-03T21:53:01.554149+01:00
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      xbLucDiva1_1
InputYamlFile:      /lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/xbLucDiva1_1.yaml
InputAssemblyData:  [[id:xbLucDiva1_1, sz:2119412302, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[5817582506, 15322521162, 16123487]], [/lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/working/work/d1/fe60264efe384d7af710cdfd68804d/in/m64222e_230530_144522.ccs.bc2013--bc2013.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/working/work/d1/fe60264efe384d7af710cdfd68804d/in/m84047_231111_125313_s1.ccs.bc2013.filtered.fasta.gz, /lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/working/work/d1/fe60264efe384d7af710cdfd68804d/in/m84093_240129_151637_s4.ccs.bc2044.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:40445301094, cn:9], /lustre/scratch124/tol/projects/asg/data/molluscs/Lucinella_divaricata/assembly/draft/treeval/xbLucDiva1_1/working/work/78/90af3f0ff19a84ec3d01fb803a5ae7/in/48699_1-2#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	94ms	47.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	55ms	42.4%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	89ms	37.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	64ms	50.7%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (xbLucDiva1_1)	COMPLETED	-	2	12 GB	1	3s	74.0%	0.0%	174.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	1s	30.2%	0.0%	6.3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (xbLucDiva1_1)	COMPLETED	-	1	1 GB	1	0ms	49.9%	0.0%	3 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (xbLucDiva1_1)	COMPLETED	-	1	100 MB	1	33ms	43.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (xbLucDiva1_1)	COMPLETED	-	1	6 GB	1	9s	95.8%	0.0%	4.7 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (xbLucDiva1_1)	COMPLETED	-	2	12 GB	1	12.6s	94.3%	0.0%	344.4 MB
