---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   deadly_volta
Pipeline_session:   37a1635b-c046-423d-9eae-c564badd4cc8
Pipeline_duration:  33890
Pipeline_datastrt:  2024-03-13T14:34:06.348451926Z
Pipeline_datecomp:  2024-03-13T23:58:56.747846606Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      xbMysUnda1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/xbMysUnda1_1.yaml
InputAssemblyData:  [[id:xbMysUnda1_1, sz:1717228290, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Mysia_undata/assembly/draft/treeval/xbMysUnda1_1/raw/ref.fa]
Input_PacBio_Files: [[id:read, sz:[14365945, 6026380195, 4190115008]], [/lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/44/65d00b548e1e1e9fdbbaa380020a44/in/m64221e_210614_054101.ccs.bc1022_BAK8B_OA--bc1022_BAK8B_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/44/65d00b548e1e1e9fdbbaa380020a44/in/m64222e_231030_155911.ccs.bc2094--bc2094.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/44/65d00b548e1e1e9fdbbaa380020a44/in/m84093_240209_122135_s2.ccs.bc2010.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:83077310341, cn:17], /lustre/scratch123/tol/teams/tola/users/yy5/galaxy_new/treeval/work/ab/9ddc6ff70cee449350643dc059b10c/in/46652_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	49 GB	1	15m 14s	99.4%	20.1%	37.8 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides21020cds)	CACHED	-	6	80 GB	1	50s	277.7%	2.7%	10.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides22021rna)	CACHED	-	6	80 GB	1	1m 1s	301.5%	0.7%	10.5 GB
SANGERTOL_TREEVAL:TREEVAL:KMER:GrabFiles (xbMysUnda1_1)	CACHED	-	1	100 MB	1	84ms	29.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (xbMysUnda1_1)	CACHED	-	2	12 GB	1	11.2s	96.0%	0.1%	237.3 MB
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:GrabFiles (xbMysUnda1_1)	CACHED	-	1	100 MB	1	310ms	11.0%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:GrabFiles (xbMysUnda1_1)	CACHED	-	1	100 MB	1	237ms	16.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xbMysUnda1_1)	CACHED	-	2	12 GB	1	31s	94.0%	0.1%	281.4 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides11010cds)	CACHED	-	6	80 GB	1	1m	231.6%	2.7%	10.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (xbMysUnda1_1)	CACHED	-	6	50 GB	1	36s	327.8%	0.8%	12.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides6005rna)	CACHED	-	6	80 GB	1	53s	295.3%	2.7%	10.4 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (xbMysUnda1_1)	CACHED	-	1	100 MB	1	1s	30.6%	0.0%	3.4 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (xbMysUnda1_1)	CACHED	-	6	3 GB	1	13m 23s	99.8%	0.2%	1.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (PomaceaCanaliculata24cdna)	CACHED	-	6	80 GB	1	31m 47s	541.6%	9.4%	35.5 GB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (xbMysUnda1_1)	CACHED	-	1	6 GB	1	25s	96.5%	0.5%	1.8 GB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (xbMysUnda1_1)	CACHED	-	2	12 GB	1	3s	88.9%	0.0%	120.7 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (xbMysUnda1_1)	CACHED	-	1	6 GB	1	10s	95.7%	0.0%	4.7 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (xbMysUnda1_1)	CACHED	-	1	100 MB	1	293ms	14.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xbMysUnda1_1)	CACHED	-	2	12 GB	1	32s	96.4%	0.0%	325.8 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_USTAT (xbMysUnda1_1)	CACHED	-	1	1 GB	1	13m 14s	99.4%	0.2%	415.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xbMysUnda1_1)	CACHED	-	2	12 GB	1	37s	97.1%	0.1%	376.9 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:CHUNKFASTA (xbMysUnda1_1)	CACHED	-	2	12 GB	1	58s	27.0%	0.2%	1.5 GB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (xbMysUnda1_1)	CACHED	-	1	1 GB	1	0ms	30.7%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_ALIGN (OctopusBimaculoides16565pep)	CACHED	-	6	72 GB	1	17s	526.0%	1.6%	5.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_ALIGN (OctopusBimaculoides5772pep)	CACHED	-	6	72 GB	1	15s	443.8%	0.6%	4.7 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_WINDOWS (xbMysUnda1_1)	CACHED	-	2	12 GB	1	7s	108.6%	0.1%	368.6 MB
SANGERTOL_TREEVAL:TREEVAL:KMER:CAT_CAT (xbMysUnda1_1)	CACHED	-	2	12 GB	1	36s	96.8%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:CAT_CAT (xbMysUnda1_1)	CACHED	-	2	12 GB	1	37s	94.9%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSPQI)	CACHED	-	2	12 GB	1	0ms	84.8%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 27m 19s	1297.2%	4.2%	32.5 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSSSI)	CACHED	-	2	12 GB	1	1s	93.7%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 25m 2s	1437.6%	4.2%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:EXTRACT_REPEAT (xbMysUnda1_1)	CACHED	-	2	12 GB	1	7s	98.7%	0.0%	5.8 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:MUMMER (input.0.fasta)	CACHED	-	12	28 GB	1	18m 9s	100.1%	6.7%	25.2 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (DLE1)	CACHED	-	2	12 GB	1	2s	93.4%	0.0%	70.7 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (BSPQI)	CACHED	-	1	6 GB	1	1s	72.6%	0.0%	11.4 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (BSSSI)	CACHED	-	1	6 GB	1	5s	95.5%	0.0%	27.3 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 10m 57s	1484.6%	8.5%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:MINIMAP2_ALIGN (xbMysUnda1_1)	CACHED	-	20	50 GB	1	49s	813.5%	3.8%	14.3 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 12m 55s	1528.2%	8.5%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:MUMMER (input.0.fasta)	CACHED	-	12	28 GB	1	22m 11s	100.0%	6.7%	25.2 GB
SANGERTOL_TREEVAL:TREEVAL:READ_COVERAGE:MINIMAP2_ALIGN (xbMysUnda1_1)	CACHED	-	20	50 GB	1	1h 24m 52s	1867.2%	5.6%	21.4 GB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:MUMMER (input.1.fasta)	CACHED	-	12	28 GB	1	29m 26s	100.0%	6.7%	25.2 GB
SANGERTOL_TREEVAL:TREEVAL:KMER:FASTK_FASTK (xbMysUnda1_1)	CACHED	-	25	100 GB	1	6m 58s	735.4%	9.4%	35.5 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_CMAP2BED (DLE1)	CACHED	-	1	6 GB	1	6s	66.4%	0.0%	32.8 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 11m 56s	1528.3%	4.3%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 15m 42s	1424.0%	8.4%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:MUMMER (input.1.fasta)	CACHED	-	12	28 GB	1	19m 40s	100.0%	3.3%	25.2 GB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (xbMysUnda1_1)	CACHED	-	1	100 MB	1	29ms	40.9%	0.0%	3 MB
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:FASTK_FASTK (xbMysUnda1_1)	CACHED	-	25	100 GB	1	7m 2s	737.6%	9.4%	35.5 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:EXTRACT_TELO (xbMysUnda1_1)	CACHED	-	2	12 GB	1	31ms	39.1%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:CAT_CAT (xbMysUnda1_1)	CACHED	-	2	12 GB	1	1s	68.7%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 13m 39s	1533.1%	8.5%	32.7 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 13m 21s	1451.7%	4.2%	32.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (xbMysUnda1_1)	CACHED	-	2	12 GB	1	34ms	48.7%	0.0%	3.7 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_MUMMER2BED (xbMysUnda1_1)	CACHED	-	10	1 GB	1	3s	99.5%	0.0%	83.1 MB
SANGERTOL_TREEVAL:TREEVAL:KMER_READ_COVERAGE:FKUTILS_FKPROF (xbMysUnda1_1)	CACHED	-	25	50 GB	1	20m 15s	107.0%	4.5%	16.9 GB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:HIC_BWAMEM2:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (xbMysUnda1_1)	CACHED	-	16	50 GB	1	1h 12m 40s	1415.6%	8.6%	32.6 GB
