---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   cranky_lamarr
Pipeline_session:   51677228-8193-4bff-a820-f22d99219348
Pipeline_duration:  196624
Pipeline_datastrt:  2023-12-30T22:44:14.294981Z
Pipeline_datecomp:  2024-01-02T05:21:19.084061Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      xcEleCirr1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/xcEleCirr1_1.yaml
InputAssemblyData:  [[id:xcEleCirr1_1, sz:3171312003, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[4606151022, 5211823844, 4475732351, 5174911231]], [/lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/working/work/30/ac06ae8513d21ed24f41ad68fc35ef/in/m64125e_230814_154136.ccs.bc2041--bc2041.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/working/work/30/ac06ae8513d21ed24f41ad68fc35ef/in/m64178e_230821_122719.ccs.bc2016--bc2016.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/working/work/30/ac06ae8513d21ed24f41ad68fc35ef/in/m64221e_231030_155758.ccs.bc2062--bc2062.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/working/work/30/ac06ae8513d21ed24f41ad68fc35ef/in/m64228e_221212_155731.ccs.bc1018_BAK8B_OA--bc1018_BAK8B_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:325511434877, cn:65], /lustre/scratch124/tol/projects/darwin/data/molluscs/Eledone_cirrhosa/assembly/draft/treeval/xcEleCirr1_1/working/work/49/5cee215b123d7a59bf8b5e4dd19c0b/in/46698_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (xcEleCirr1_1)	COMPLETED	-	1	100 MB	1	38ms	94.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (xcEleCirr1_1)	COMPLETED	-	1	100 MB	1	50ms	70.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (xcEleCirr1_1)	COMPLETED	-	1	100 MB	1	37ms	90.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	3s	93.7%	0.2%	328.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (xcEleCirr1_1)	COMPLETED	-	1	6 GB	1	11s	96.8%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (xcEleCirr1_1)	COMPLETED	-	1	100 MB	1	95ms	11.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (xcEleCirr1_1)	COMPLETED	-	1	100 MB	1	4s	11.5%	0.0%	17 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	22ms	69.6%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	14ms	40.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	18.1s	98.5%	0.2%	653.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (xcEleCirr1_1)	COMPLETED	-	1	6 GB	1	0ms	93.8%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	18ms	43.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (xcEleCirr1_1)	COMPLETED	-	1	2 GB	1	0ms	59.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	223ms	117.3%	0.0%	3.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	7s	128.7%	0.1%	383.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	51ms	111.4%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (xcEleCirr1_1)	COMPLETED	-	1	2 GB	1	0ms	55.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	55s	95.4%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	1m 13s	214.9%	6.6%	12.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (xcEleCirr1_1)	COMPLETED	-	2	12 GB	1	10m 17s	99.9%	1.2%	4.6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (xcEleCirr1_1)	COMPLETED	-	25	100 GB	1	15m 18s	684.2%	13.1%	49.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	89 GB	1	25m 15s	99.5%	18.5%	69.7 GB
