---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   nauseous_swartz
Pipeline_session:   c3348e9a-9776-48ba-8574-866ba077c766
Pipeline_duration:  105838
Pipeline_datastrt:  2024-03-25T14:39:10.908451Z
Pipeline_datecomp:  2024-03-26T20:03:09.096590Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      xgMonCant1_2
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/molluscs/Monacha_cantiana/assembly/draft/treeval/xgMonCant1_2/xgMonCant1_2.yaml
InputAssemblyData:  [[id:xgMonCant1_2, sz:4297114738, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Monacha_cantiana/assembly/draft/treeval/xgMonCant1_2/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:[4015895473, 11499538564]], [/lustre/scratch124/tol/projects/darwin/data/molluscs/Monacha_cantiana/assembly/draft/treeval/xgMonCant1_2/working/work/4f/befc3bc801ead1007f52af2e959e8e/in/m64230e_230418_183056.ccs.bc2086--bc2086.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/molluscs/Monacha_cantiana/assembly/draft/treeval/xgMonCant1_2/working/work/4f/befc3bc801ead1007f52af2e959e8e/in/m84047_240316_114145_s3.ccs.bc2060.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:62129285146, cn:13], /lustre/scratch124/tol/projects/darwin/data/molluscs/Monacha_cantiana/assembly/draft/treeval/xgMonCant1_2/working/work/b1/764ae595d26a29dffaba96522652e1/in/47157_4#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	44ms	96.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	43ms	94.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	40ms	89.6%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	39ms	66.5%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	1s	19.4%	0.0%	6.2 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (xgMonCant1_2)	COMPLETED	-	2	12 GB	1	7s	98.5%	0.0%	145.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (xgMonCant1_2)	COMPLETED	-	1	1 GB	1	0ms	58.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (xgMonCant1_2)	COMPLETED	-	1	100 MB	1	45ms	28.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_UNSORTED_GENOME:CUSTOM_GETCHROMSIZES (xgMonCant1_2)	COMPLETED	-	1	6 GB	1	23s	97.5%	0.0%	6.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (xgMonCant1_2)	COMPLETED	-	2	12 GB	1	21.8s	98.6%	0.1%	289.4 MB
