---RUN_DATA---
Pipeline_version:   v1.0.2
Pipeline_runname:   happy_meninsky
Pipeline_session:   0a1f5525-9517-431c-b896-c7492bb358c7
Pipeline_duration:  37431
Pipeline_datastrt:  2024-03-05T14:15:52.035179Z
Pipeline_datecomp:  2024-03-06T00:39:43.257647Z
Pipeline_entrypnt:  RAPID_TOL
---INPUT_DATA---
InputSampleID:      xgOmpGlab2_1
InputYamlFile:      /lustre/scratch124/tol/projects/darwin/data/molluscs/Omphiscola_glabra/assembly/draft/treeval/xgOmpGlab2_1/xgOmpGlab2_1.yaml
InputAssemblyData:  [[id:xgOmpGlab2_1, sz:758130704, ln:mollusc, tk:null], /lustre/scratch124/tol/projects/darwin/data/molluscs/Omphiscola_glabra/assembly/draft/treeval/xgOmpGlab2_1/data/ref.fa]
Input_PacBio_Files: [[id:read, sz:10155320427], /lustre/scratch124/tol/projects/darwin/data/molluscs/Omphiscola_glabra/assembly/draft/treeval/xgOmpGlab2_1/working/work/f1/e701652daab0aab8b09b7024f60f28/in/m84093_240201_160001_s4.ccs.bc2022.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37866225570, cn:8], /lustre/scratch124/tol/projects/darwin/data/molluscs/Omphiscola_glabra/assembly/draft/treeval/xgOmpGlab2_1/working/work/5a/9436035735a6505c5101c37be90225/in/41443_2#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER_READ_COVERAGE:GrabFiles (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	209ms	14.3%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:READ_COVERAGE:GrabFiles (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	134ms	21.8%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:KMER:GrabFiles (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	199ms	23.2%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GrabFiles (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	164ms	26.0%	0.0%	0
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:HIC_MAPPING:GENERATE_CRAM_CSV (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	1s	39.5%	0.0%	3.4 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:SEQTK_CUTN (xgOmpGlab2_1)	COMPLETED	-	2	12 GB	1	2s	81.4%	0.0%	87.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:CUSTOM_GETCHROMSIZES (xgOmpGlab2_1)	COMPLETED	-	1	6 GB	1	4s	95.6%	0.0%	4.6 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_REGIONS (xgOmpGlab2_1)	COMPLETED	-	2	12 GB	1	4.5s	88.7%	0.0%	170.5 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:TABIX_BGZIPTABIX (xgOmpGlab2_1)	COMPLETED	-	1	1 GB	1	1s	47.9%	0.0%	3.1 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GAP_FINDER:GAP_LENGTH (xgOmpGlab2_1)	COMPLETED	-	1	100 MB	1	27ms	24.2%	0.0%	2.9 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:GENERATE_GENOME:GENERATE_SORTED_GENOME:GNU_SORT (xgOmpGlab2_1)	COMPLETED	-	2	12 GB	1	14ms	97.0%	0.0%	2.8 MB
RAPID_TOL:SANGERTOL_TREEVAL_RAPID_TOL:TREEVAL_RAPID_TOL:TELO_FINDER:FIND_TELOMERE_WINDOWS (xgOmpGlab2_1)	COMPLETED	-	2	12 GB	1	1s	135.4%	0.0%	300.8 MB
