---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   reverent_hugle
Pipeline_session:   6fa0c4d7-f93b-4fd1-84bf-5dece8521202
Pipeline_duration:  87311
Pipeline_datastrt:  2024-01-09T21:50:12.657517Z
Pipeline_datecomp:  2024-01-10T22:05:24.092695Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      xgOncCelt3_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/xgOncCelt3_1.yaml
InputAssemblyData:  [[id:xgOncCelt3_1, sz:1163977064, ln:mollusc, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/molluscs/Onchidella_celtica/assembly/draft/treeval/xgOncCelt3_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5135474459, 16271741848]], [/lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/7f/7c50506bdb4bd17bf3dd77c7a043cd/in/m64230e_230225_020933.ccs.bc1011_BAK8A_OA--bc1011_BAK8A_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/7f/7c50506bdb4bd17bf3dd77c7a043cd/in/m84047_231215_122108_s4.ccs.bc2030.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:145660958052], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/6b/4e864e19d7d63543122561a7c15909/in/46689_2#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (xgOncCelt3_1)	COMPLETED	-	1	6 GB	1	102ms	16.5%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (xgOncCelt3_1)	COMPLETED	-	1	6 GB	1	96ms	15.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (mollusc)	COMPLETED	-	1	6 GB	1	30ms	37.1%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	3s	97.8%	0.0%	118 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	0ms	60.8%	0.0%	3.3 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (xgOncCelt3_1)	COMPLETED	-	1	6 GB	1	5s	95.3%	0.0%	6.1 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	9.7s	95.6%	0.1%	231.6 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (xgOncCelt3_1)	COMPLETED	-	6	36 GB	1	23s	366.1%	2.6%	9.9 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	23s	92.4%	0.1%	270.9 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	22s	95.1%	0.1%	347.8 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (xgOncCelt3_1)	COMPLETED	-	10	120 GB	1	18s	96.7%	0.2%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	24s	93.6%	0.1%	286.2 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	30s	202.8%	0.7%	5.1 GB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	4m 47s	99.7%	0.3%	1.2 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_WINDOWS (xgOncCelt3_1)	COMPLETED	-	2	12 GB	1	2s	121.5%	0.2%	321.1 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	100 GB	1	13m 38s	99.1%	3.4%	25.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (OctopusBimaculoides11010cds)	COMPLETED	-	6	400 GB	1	44s	267.9%	1.1%	8.2 GB
