---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   ridiculous_hugle
Pipeline_session:   193a8b1a-70cc-4045-9820-b2942b8c7d9b
Pipeline_duration:  17240
Pipeline_datastrt:  2023-09-02T22:35:04.719732819+01:00
Pipeline_datecomp:  2023-09-03T03:22:24.407590402+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ddSalArbu1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ddSalArbu1_1.yaml
InputAssemblyData:  [[id:ddSalArbu1_1, sz:392589393, ln:dicots, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ddSalArbu1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6720030700], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ddSalArbu1_1/working/work/e7/f809b42eb37ee3ef8f8986fe5f3fa8/in/m64222e_230501_080859.ccs.bc2094--bc2094.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:45131589235], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ddSalArbu1_1/working/work/e1/96a441b58ee49142554b5235c7da8c/in/45180_4#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ddSalArbu1_1)	COMPLETED	-	1	6 GB	1	172ms	19.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ddSalArbu1_1)	COMPLETED	-	1	6 GB	1	108ms	32.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ddSalArbu1_1)	COMPLETED	-	1	6 GB	1	82ms	35.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ddSalArbu1_1)	COMPLETED	-	1	6 GB	1	2s	95.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	1s	7.5%	0.0%	16.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	8s	22.3%	0.0%	36 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	90ms	16.5%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	52ms	14.1%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	95ms	6.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ddSalArbu1_1)	COMPLETED	-	2	12 GB	1	15ms	88.3%	0.0%	2.8 MB
