---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   sharp_rosalind
Pipeline_session:   1885f32c-e3ef-43e4-b0af-8ce56453df4a
Pipeline_duration:  16279
Pipeline_datastrt:  2023-08-27T11:19:33.601109821+01:00
Pipeline_datecomp:  2023-08-27T15:50:53.078044026+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [fSprSpr1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fSprSpr1_1.yaml
InputAssemblyData:  [[id:fSprSpr1_1, sz:859607852, ln:fish, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fSprSpr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[5629657084, 5742050336]], [/lustre/scratch123/tol/teams/tola/treeval_runs/RC/fSprSpr1_1/working/work/e3/cf7623d4e8300b37327006553a8049/in/m64016e_230227_155235.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fSprSpr1_1/working/work/e3/cf7623d4e8300b37327006553a8049/in/m64178e_230814_103359.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:33788363760], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/fSprSpr1_1/working/work/1c/96bdc86a9ff6e8c4ce408f5951d140/in/47093_2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	234ms	20.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	164ms	20.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	160ms	26.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	0ms	73.0%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	2s	95.3%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	1s	97.2%	0.0%	4.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	6.6s	90.0%	0.0%	145.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	18ms	40.3%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	29ms	40.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	24ms	63.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	1s	133.9%	0.0%	304.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	0ms	88.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	22ms	34.4%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	0ms	44.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	21ms	75.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	76ms	71.4%	0.0%	11.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	0ms	38.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	26s	197.1%	1.2%	4.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	32s	99.5%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	3m 53s	99.5%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	6m 55s	97.9%	0.1%	273 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	4s	98.0%	0.0%	5.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	3s	91.8%	0.6%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	727ms	100.9%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	3.1s	186.4%	0.0%	275.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	2s	131.9%	0.0%	9.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (fSprSpr1_1)	COMPLETED	-	1	6 GB	1	2s	90.5%	0.0%	9.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REPLACE_DOTS (fSprSpr1_1)	COMPLETED	-	2	12 GB	1	36ms	55.5%	0.0%	6.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (fSprSpr1_1)	COMPLETED	-	2	20 GB	1	0ms	96.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (fSprSpr1_1)	COMPLETED	-	6	36 GB	1	12m 1s	385.1%	3.4%	25.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	100 GB	1	14m 2s	98.9%	1.1%	18.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:MERQURYFK_MERQURYFK (fSprSpr1_1)	COMPLETED	-	6	36 GB	1	4m 40s	484.7%	3.7%	14.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fSprSpr1_1)	COMPLETED	-	16	130 GB	1	13m 30s	1481.7%	6.2%	23.9 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fSprSpr1_1)	COMPLETED	-	16	130 GB	1	39m 55s	1500.3%	6.3%	24.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fSprSpr1_1)	COMPLETED	-	16	130 GB	1	41m 14s	1498.6%	6.3%	24.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fSprSpr1_1)	COMPLETED	-	16	130 GB	1	42m 55s	1274.8%	6.4%	24.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:CRAM_FILTER_ALIGN_BWAMEM2_FIXMATE_SORT (fSprSpr1_1)	COMPLETED	-	16	130 GB	1	42m 39s	1418.4%	3.2%	24.6 GB
