---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   jovial_magritte
Pipeline_session:   b94f7e8f-ad57-499d-bc13-aced675ea081
Pipeline_duration:  7h 17m 20s
Pipeline_datastrt:  2023-08-04T11:43:23.963511+01:00
Pipeline_datecomp:  2023-08-04T19:00:44.019364+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ilHyaOcna1_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHyaOcna1_1.yaml
InputAssemblyData:  [[id:ilHyaOcna1_1, sz:810565564, ln:insects, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilHyaOcna1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5033499535], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilHyaOcna1_1/working/work/46/4745817306697416987f1989655b99/in/m64222e_230628_010420.ccs.bc2057--bc2057.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37547894452], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/ilHyaOcna1_1/working/work/3a/69c80da279e007bc50864dc78a466a/in/47341_1#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	107ms	24.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	81ms	27.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	0ms	68.6%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	1s	99.9%	0.0%	26.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ref.fa)	COMPLETED	-	1	6 GB	1	3s	96.2%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	15ms	59.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	1s	73.8%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	17ms	82.6%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	13ms	56.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	9.6s	95.8%	0.0%	63.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	74ms	75.0%	0.0%	5.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	1s	36.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	25s	182.2%	0.7%	5.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	3s	123.7%	0.2%	378.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	23ms	95.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	0ms	53.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	2m 48s	99.3%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	6m 14s	100.0%	0.0%	163.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	5s	99.0%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilHyaOcna1_1)	COMPLETED	-	1	6 GB	1	5s	95.7%	1.0%	1.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	976ms	114.7%	0.0%	8.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	40 GB	1	9m 33s	98.8%	2.4%	17.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	4.1s	178.9%	0.3%	483.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (ilHyaOcna1_1)	COMPLETED	-	2	12 GB	1	4s	134.5%	0.0%	9.7 MB
