---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   festering_hilbert
Pipeline_session:   72224085-9629-4456-8250-8ba8e339f0f6
Pipeline_duration:  7h 12m 2s
Pipeline_datastrt:  2023-08-16T16:29:12.033134072+01:00
Pipeline_datecomp:  2023-08-16T23:41:14.362545316+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [ilIthSala1_1]
InputYamlFile:      ilIthSala1.yaml
InputAssemblyData:  [[id:ilIthSala1_1, sz:517849599, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/ASSEMBLY_DATA/ilIthSala1.fa]
Input_PacBio_Files: [[id:pacbio, sz:6604432970], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/41/89b13bde2de05b2a8921380a8e7fc9/in/m64222e_230623_061512.ccs.bc2028--bc2028.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36469874363], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/b4/af10ff6fdf8c04e7ee4bf521f373a9/in/47341_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	39ms	102.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	40ms	86.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	4.8s	90.3%	0.0%	47.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	21s	152.1%	0.7%	3.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	1s	58.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	4s	89.6%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	1s	59.8%	0.0%	14.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	1s	128.6%	0.1%	298 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	21ms	41.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	36ms	45.8%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	1s	65.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	28ms	27.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	22ms	39.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	62ms	43.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	0ms	35.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilIthSala1_1)	COMPLETED	-	1	6 GB	1	0ms	42.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilIthSala1_1)	COMPLETED	-	2	12 GB	1	2m 4s	99.4%	0.3%	1.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ilIthSala1.fa)	COMPLETED	-	1	40 GB	1	5m 31s	96.7%	1.5%	11.4 GB
