---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   reverent_coulomb
Pipeline_session:   c2146179-5d00-4782-a497-8331c724dac2
Pipeline_duration:  9h 50m 10s
Pipeline_datastrt:  2023-08-08T12:20:33.983274831+01:00
Pipeline_datecomp:  2023-08-08T22:10:43.499339844+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [iyHypDolo1_1]
InputYamlFile:      ../ASSEMBLY_YAML/iyHypDolo1.yaml
InputAssemblyData:  [[id:iyHypDolo1_1, sz:226346523, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/ASSEMBLY_DATA/iyHypDolo1_1.fa]
Input_PacBio_Files: [[id:pacbio, sz:5335178819], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/1f/8899ae1e0afe56723cb8d2f2102fa7/in/m64125e_230515_215202.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:41130359753], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/d0/ebbcf134c9f94a9e64975e1beb5555/in/45706_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyHypDolo1_1)	COMPLETED	-	1	6 GB	1	54ms	71.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyHypDolo1_1)	COMPLETED	-	1	6 GB	1	54ms	74.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyHypDolo1_1)	COMPLETED	-	2	12 GB	1	0ms	24.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyHypDolo1_1)	COMPLETED	-	2	12 GB	1	2.3s	72.7%	0.0%	63.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyHypDolo1_1)	COMPLETED	-	1	6 GB	1	1s	87.1%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	14s	84.5%	0.4%	1.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyHypDolo1_1)	COMPLETED	-	2	12 GB	1	1s	26.6%	0.0%	33.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyHypDolo1_1)	COMPLETED	-	2	12 GB	1	1s	121.3%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyHypDolo1_1)	COMPLETED	-	2	12 GB	1	61ms	25.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyHypDolo1_1)	COMPLETED	-	1	6 GB	1	0ms	58.4%	0.0%	3 MB
