---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   angry_church
Pipeline_session:   d9b60f3d-5d0a-4d07-8bf6-7bf9d4727054
Pipeline_duration:  5h 32m 57s
Pipeline_datastrt:  2023-08-16T13:33:48.419597265+01:00
Pipeline_datecomp:  2023-08-16T19:06:45.205088954+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [iyItoMacu1_1]
InputYamlFile:      iyItoMacu1.yaml
InputAssemblyData:  [[id:iyItoMacu1_1, sz:239152712, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/ASSEMBLY_DATA/iyItoMacu1.fa]
Input_PacBio_Files: [[id:pacbio, sz:4214358864], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/26/5f6e5ca9b192f248f2a1d0f904cae3/in/m64178e_230701_073928.ccs.bc1018_BAK8B_OA--bc1018_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37106466202], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/77/061897a650f4fb20831e6340d410b4/in/40987_4#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	41ms	84.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	54ms	65.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	0ms	77.1%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	1s	93.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	1s	95.4%	0.0%	20.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	1.9s	94.2%	0.0%	37.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	0ms	47.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	22ms	67.4%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	20ms	66.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	0ms	35.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	12s	108.2%	0.5%	1.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	309ms	6.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	3s	43.5%	0.0%	34.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	677ms	4.8%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	18ms	45.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	0ms	35.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	51s	99.5%	0.1%	363.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (iyItoMacu1.fa)	COMPLETED	-	1	40 GB	1	2m 17s	94.2%	1.4%	5.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	1m 3s	99.9%	0.0%	103 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	2s	84.9%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyItoMacu1_1)	COMPLETED	-	1	6 GB	1	1s	80.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (iyItoMacu1_1)	COMPLETED	-	2	12 GB	1	371ms	54.1%	0.0%	4.3 MB
