---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   lethal_minsky
Pipeline_session:   6bb097e5-3be7-47cf-a250-8c46e5d8aaf9
Pipeline_duration:  3h 49m 19s
Pipeline_datastrt:  2023-08-07T10:16:14.936591+01:00
Pipeline_datecomp:  2023-08-07T14:05:33.591818+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      [iyNomGood2_1]
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyNomGood2_1.yaml
InputAssemblyData:  [[id:iyNomGood2_1, sz:219953446, ln:insects, tk:DTOL], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/iyNomGood2_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5863060317], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/iyNomGood2_1/working/work/8b/fbc0a471656d7bc79d949f569081e3/in/m64228e_221126_164824.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:33310232161], /lustre/scratch123/tol/teams/tola/treeval_runs/RC/iyNomGood2_1/working/work/01/e41d9bd9bdb7f07abc9f4eeb4c5cd6/in/44743_3#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyNomGood2_1)	COMPLETED	-	1	6 GB	1	179ms	18.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyNomGood2_1)	COMPLETED	-	1	6 GB	1	146ms	25.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ref.fa)	COMPLETED	-	1	6 GB	1	1s	90.7%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	0ms	96.5%	0.0%	25.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	0ms	66.7%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	1.7s	87.5%	0.0%	47.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	7s	176.7%	0.5%	2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyNomGood2_1)	COMPLETED	-	1	6 GB	1	0ms	76.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	15ms	91.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	22ms	45.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	14ms	90.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	1s	132.9%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	34ms	74.1%	0.0%	6.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyNomGood2_1)	COMPLETED	-	1	6 GB	1	0ms	48.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	19ms	80.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyNomGood2_1)	COMPLETED	-	1	6 GB	1	0ms	49.5%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	50s	98.1%	0.1%	367.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	1m 2s	99.0%	0.0%	102.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iyNomGood2_1)	COMPLETED	-	2	12 GB	1	2s	98.8%	0.0%	6.8 MB
