---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   thirsty_heisenberg
Pipeline_session:   99d879f8-00af-4d39-a25f-e42128c48fa8
Pipeline_duration:  55060
Pipeline_datastrt:  2023-11-08T18:17:06.497352545Z
Pipeline_datecomp:  2023-11-09T09:34:47.365711064Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      bBucCla1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/bBucCla1_1.yaml
InputAssemblyData:  [[id:bBucCla1_1, sz:1211390765, ln:bird, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/birds/Bucephala_clangula/assembly/draft/treeval/bBucCla1_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[6884357524, 8051808273]], [/lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/cf/9b95c650b1d8da6b8a58f611b016fc/in/m64229e_231030_160050.ccs.bc2030--bc2030.filtered.fasta.gz, /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/cf/9b95c650b1d8da6b8a58f611b016fc/in/m64230e_230615_232854.ccs.bc2095--bc2095.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:17985157664], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/c7/e306a6af486cbf02a4c25492930d9a/in/47339_4#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (bBucCla1_1)	COMPLETED	-	1	6 GB	1	195ms	11.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (bBucCla1_1)	COMPLETED	-	1	6 GB	1	231ms	8.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (bBucCla1_1)	COMPLETED	-	2	12 GB	1	0ms	57.5%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (bBucCla1_1)	COMPLETED	-	2	12 GB	1	2s	78.1%	0.0%	128.2 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (bBucCla1_1)	COMPLETED	-	2	12 GB	1	9.5s	94.5%	0.1%	252.3 MB
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (bird)	COMPLETED	-	1	6 GB	1	4.8s	85.9%	0.0%	8.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (bBucCla1_1)	COMPLETED	-	1	6 GB	1	7s	96.4%	0.0%	4.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (bBucCla1_1)	COMPLETED	-	6	36 GB	1	26s	344.2%	1.5%	11.2 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bBucCla1_1)	COMPLETED	-	2	12 GB	1	24s	95.8%	0.1%	316.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bBucCla1_1)	COMPLETED	-	2	12 GB	1	25s	96.1%	0.1%	352.8 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	32s	194.6%	1.4%	5.3 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (bBucCla1_1)	COMPLETED	-	2	12 GB	1	31s	96.2%	0.1%	333.7 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos2000cds)	COMPLETED	-	6	100 GB	1	48s	307.1%	2.4%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos2000rna)	COMPLETED	-	6	100 GB	1	48s	325.7%	1.3%	9.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata95cdna)	COMPLETED	-	6	100 GB	1	48s	214.0%	0.6%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos36017rna)	COMPLETED	-	6	100 GB	1	58s	283.9%	0.6%	9.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos28013cds)	COMPLETED	-	6	100 GB	1	52s	280.7%	2.4%	9.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos26012cds)	COMPLETED	-	6	100 GB	1	44s	306.2%	1.2%	9.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos60950rna)	COMPLETED	-	6	100 GB	1	48s	247.3%	0.6%	9.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata253cdna)	COMPLETED	-	6	100 GB	1	47s	217.0%	2.3%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos16007cds)	COMPLETED	-	6	100 GB	1	45s	314.8%	1.3%	9.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos38018cds)	COMPLETED	-	6	100 GB	1	44s	309.0%	1.2%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata313cdna)	COMPLETED	-	6	100 GB	1	45s	221.6%	2.3%	8.8 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos50024rna)	COMPLETED	-	6	100 GB	1	56s	290.9%	0.6%	9.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata139cdna)	COMPLETED	-	6	100 GB	1	38s	244.2%	1.1%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos32015rna)	COMPLETED	-	6	100 GB	1	48s	331.2%	2.5%	9.4 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos10004cds)	COMPLETED	-	6	100 GB	1	56s	300.9%	2.4%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos54026rna)	COMPLETED	-	6	100 GB	1	51s	266.7%	0.6%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos52025cds)	COMPLETED	-	6	100 GB	1	45s	311.7%	1.2%	9.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata229cdna)	COMPLETED	-	6	100 GB	1	50s	222.3%	2.3%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata353cdna)	COMPLETED	-	6	100 GB	1	41s	231.8%	0.6%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos40019cds)	COMPLETED	-	6	100 GB	1	47s	321.0%	1.2%	8.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos14006rna)	COMPLETED	-	6	100 GB	1	59s	308.1%	2.5%	9.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos28013rna)	COMPLETED	-	6	100 GB	1	50s	297.2%	0.6%	9.7 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos20009cds)	COMPLETED	-	6	100 GB	1	1m 15s	239.6%	2.3%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos58028rna)	COMPLETED	-	6	100 GB	1	1m 1s	249.4%	1.3%	9.8 GB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (bBucCla1_1)	COMPLETED	-	2	12 GB	1	5m 49s	99.3%	0.3%	1.3 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos44021cds)	COMPLETED	-	6	100 GB	1	45s	281.7%	0.6%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos30014rna)	COMPLETED	-	6	100 GB	1	1m	291.3%	2.5%	9.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos44021rna)	COMPLETED	-	6	100 GB	1	57s	286.5%	0.7%	9.9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata391cdna)	COMPLETED	-	6	100 GB	1	41s	225.9%	0.6%	9.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos18008cds)	COMPLETED	-	6	100 GB	1	1m 26s	188.8%	1.2%	8.8 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata237cdna)	COMPLETED	-	6	100 GB	1	42s	221.5%	2.2%	8.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata55cdna)	COMPLETED	-	6	100 GB	1	2m 44s	133.6%	2.4%	9.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos42020rna)	COMPLETED	-	6	100 GB	1	1m 5s	268.9%	2.4%	9.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos12005cds)	COMPLETED	-	6	100 GB	1	54s	297.2%	2.4%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (AquilaChysaetos32015cds)	COMPLETED	-	6	100 GB	1	1m 27s	191.8%	1.2%	9 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (TaeniopygiaGuttata251cdna)	COMPLETED	-	6	100 GB	1	43s	220.7%	2.2%	8.9 GB
