---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   stoic_kalam
Pipeline_session:   fd678e55-5ad7-46ff-aa12-cc64b54ecc23
Pipeline_duration:  15998
Pipeline_datastrt:  2023-11-06T20:11:52.592247451Z
Pipeline_datecomp:  2023-11-07T00:38:30.727449880Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      daVerThap1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/daVerThap1_1.yaml
InputAssemblyData:  [[id:daVerThap1_1, sz:352317267, ln:dicots, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/dicots/Verbascum_thapsus/assembly/draft/treeval/daVerThap1_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:2505531287], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/67/319b37a346446c9ae280f46768ffea/in/m84047_231020_132559_s2.ccs.bc2067.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:31545356069], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/29/a2fc1bd11488153580baf385ddf4bd/in/44748_4#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (daVerThap1_1)	COMPLETED	-	1	6 GB	1	318ms	12.8%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (daVerThap1_1)	COMPLETED	-	1	6 GB	1	305ms	10.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (dicots)	COMPLETED	-	1	6 GB	1	32ms	38.1%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (daVerThap1_1)	COMPLETED	-	2	12 GB	1	0ms	100.0%	0.0%	17.3 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (daVerThap1_1)	COMPLETED	-	2	12 GB	1	3.3s	88.6%	0.0%	84.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (daVerThap1_1)	COMPLETED	-	6	36 GB	1	6s	333.8%	0.7%	2.7 GB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (daVerThap1_1)	COMPLETED	-	1	6 GB	1	3s	94.8%	0.0%	4.7 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (daVerThap1_1)	COMPLETED	-	2	12 GB	1	0ms	53.2%	0.0%	6.3 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (daVerThap1_1)	COMPLETED	-	2	12 GB	1	7s	84.6%	0.0%	100.9 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (daVerThap1_1)	COMPLETED	-	2	12 GB	1	8s	85.7%	0.0%	121.9 MB
