---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   happy_torricelli
Pipeline_session:   e0f927c6-5a7b-4bb0-b506-7d64f1113984
Pipeline_duration:  111201
Pipeline_datastrt:  2023-11-16T14:51:02.066530Z
Pipeline_datecomp:  2023-11-17T21:44:23.830994Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      fScoSco1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/fScoSco1_1.yaml
InputAssemblyData:  [[id:fScoSco1_1, sz:778185538, ln:fish, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/fish/Scomber_scombrus/assembly/draft/treeval/fScoSco1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5216939130], /lustre/scratch124/tol/projects/darwin/data/fish/Scomber_scombrus/assembly/draft/treeval/fScoSco1_1/working/work/a6/14d6c8d9d24097127f89aae22ee67c/in/m64229e_231108_202032.ccs.bc2063--bc2063.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:35408229874], /lustre/scratch124/tol/projects/darwin/data/fish/Scomber_scombrus/assembly/draft/treeval/fScoSco1_1/working/work/94/fd9d6a2802fc4ee2b2611ce7735a83/in/46436_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (fScoSco1_1)	COMPLETED	-	1	6 GB	1	62ms	55.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (fScoSco1_1)	COMPLETED	-	1	6 GB	1	51ms	82.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (fScoSco1_1)	COMPLETED	-	1	6 GB	1	46ms	82.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (fScoSco1_1)	COMPLETED	-	2	12 GB	1	0ms	60.4%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (fScoSco1_1)	COMPLETED	-	1	6 GB	1	3s	93.5%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (fScoSco1_1)	COMPLETED	-	2	12 GB	1	1s	80.0%	0.0%	40.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (fScoSco1_1)	COMPLETED	-	2	12 GB	1	5.8s	96.2%	0.0%	77.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (fScoSco1_1)	COMPLETED	-	2	12 GB	1	14ms	45.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (fScoSco1_1)	COMPLETED	-	2	12 GB	1	16ms	106.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (fScoSco1_1)	COMPLETED	-	2	12 GB	1	12ms	83.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (fScoSco1_1)	COMPLETED	-	2	12 GB	1	1s	139.2%	0.1%	306 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (fScoSco1_1)	COMPLETED	-	2	12 GB	1	15ms	46.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (fScoSco1_1)	COMPLETED	-	1	6 GB	1	0ms	84.1%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (fScoSco1_1)	COMPLETED	-	1	6 GB	1	0ms	34.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (fScoSco1_1)	COMPLETED	-	2	12 GB	1	14s	91.4%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (fScoSco1_1)	COMPLETED	-	2	12 GB	1	80ms	93.1%	0.0%	10.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	24s	204.1%	0.4%	6 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (fScoSco1_1)	COMPLETED	-	2	12 GB	1	28ms	75.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (fScoSco1_1)	COMPLETED	-	1	6 GB	1	0ms	53.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (fScoSco1_1)	COMPLETED	-	2	12 GB	1	4m 42s	99.6%	0.3%	1.1 GB
