---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   happy_dijkstra
Pipeline_session:   2480d12d-ee95-4e1b-b5ff-95774ee166cd
Pipeline_duration:  36723
Pipeline_datastrt:  2023-10-24T10:50:25.681815672+01:00
Pipeline_datecomp:  2023-10-24T21:02:29.615108169+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      gfBolQuer1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/gfBolQuer1_1.yaml
InputAssemblyData:  [[id:gfBolQuer1_1, sz:38396668, ln:fungi, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/fungi/Boletus_quercinus/assembly/draft/treeval/gfBolQuer1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6338888064], /lustre/scratch124/tol/projects/darwin/data/fungi/Boletus_quercinus/assembly/draft/treeval/gfBolQuer1_1/working/work/13/c3cfaf31ff6df5fccabc4ed74aa3b2/in/m64222e_230405_133507.ccs.bc1017_BAK8B_OA--bc1017_BAK8B_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42720179145], /lustre/scratch124/tol/projects/darwin/data/fungi/Boletus_quercinus/assembly/draft/treeval/gfBolQuer1_1/working/work/48/13a025855fdd3519876d291aeaf99a/in/45915_4#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (gfBolQuer1_1)	COMPLETED	-	1	6 GB	1	34ms	96.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (gfBolQuer1_1)	COMPLETED	-	1	6 GB	1	45ms	67.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (gfBolQuer1_1)	COMPLETED	-	1	6 GB	1	58ms	66.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (gfBolQuer1_1)	COMPLETED	-	2	12 GB	1	0ms	75.8%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (gfBolQuer1_1)	COMPLETED	-	1	6 GB	1	1s	91.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (gfBolQuer1_1)	COMPLETED	-	2	12 GB	1	1s	91.4%	0.0%	10.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (gfBolQuer1_1)	COMPLETED	-	2	12 GB	1	1.2s	80.7%	0.0%	7.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	3s	119.1%	0.0%	128.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (gfBolQuer1_1)	COMPLETED	-	2	12 GB	1	11ms	55.7%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (gfBolQuer1_1)	COMPLETED	-	2	12 GB	1	24ms	42.1%	0.0%	2.8 MB
