---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   kickass_descartes
Pipeline_session:   131142f9-aade-4563-9128-a631121048f4
Pipeline_duration:  31281
Pipeline_datastrt:  2023-10-30T10:10:36.514901870Z
Pipeline_datecomp:  2023-10-30T18:51:58.108792665Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      icEneSepi1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/icEneSepi1_1.yaml
InputAssemblyData:  [[id:icEneSepi1_1, sz:782281894, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudeuparius_sepicola/assembly/draft/treeval/icEneSepi1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7506499620], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudeuparius_sepicola/assembly/draft/treeval/icEneSepi1_1/working/work/40/11f639c834fcf88f5a5180fa76cb70/in/m64228e_230915_152455.ccs.bc2072--bc2072.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36934382485], /lustre/scratch124/tol/projects/darwin/data/insects/Pseudeuparius_sepicola/assembly/draft/treeval/icEneSepi1_1/working/work/fa/b42c68c14006736c95024f60e187a1/in/47534_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (icEneSepi1_1)	COMPLETED	-	1	6 GB	1	52ms	82.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (icEneSepi1_1)	COMPLETED	-	1	6 GB	1	74ms	66.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (icEneSepi1_1)	COMPLETED	-	1	6 GB	1	42ms	75.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (icEneSepi1_1)	COMPLETED	-	1	6 GB	1	3s	95.0%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	1s	94.2%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	8s	95.6%	0.1%	298.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	0ms	66.3%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	17ms	80.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	13ms	89.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (icEneSepi1_1)	COMPLETED	-	2	12 GB	1	14ms	60.1%	0.0%	0
