---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   prickly_gautier
Pipeline_session:   d853f26b-b6bb-491f-893a-98d6d18e4971
Pipeline_duration:  73911
Pipeline_datastrt:  2023-11-13T10:18:58.074717Z
Pipeline_datecomp:  2023-11-14T06:50:49.301797Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idEriTena62_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/idEriTena62_1.yaml
InputAssemblyData:  [[id:idEriTena62_1, sz:492013668, ln:insects, tk:TOL], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena62_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:3748311924], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena62_1/working/work/61/2d2d2b4e03f8acf176c81070d6678a/in/m64125e_221122_123843.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:48396378347], /lustre/scratch126/tol/projects/filr/data/insects/Eristalis_tenax/assembly/draft/treeval/idEriTena62_1/working/work/40/95042cfc6c134677e27dc18a0d7959/in/45601_1#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idEriTena62_1)	COMPLETED	-	1	6 GB	1	36ms	96.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idEriTena62_1)	COMPLETED	-	1	6 GB	1	34ms	104.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idEriTena62_1)	COMPLETED	-	1	6 GB	1	34ms	98.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idEriTena62_1)	COMPLETED	-	2	12 GB	1	0ms	80.7%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idEriTena62_1)	COMPLETED	-	2	12 GB	1	1s	100.7%	0.0%	28.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idEriTena62_1)	COMPLETED	-	2	12 GB	1	4.2s	96.4%	0.0%	162.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idEriTena62_1)	COMPLETED	-	1	6 GB	1	2s	96.4%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idEriTena62_1)	COMPLETED	-	2	12 GB	1	12ms	128.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (idEriTena62_1)	COMPLETED	-	2	12 GB	1	1s	141.5%	0.1%	305.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idEriTena62_1)	COMPLETED	-	2	12 GB	1	13ms	52.9%	0.0%	2.8 MB
