---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   compassionate_curran
Pipeline_session:   80188939-9eb0-498d-90bf-613664290524
Pipeline_duration:  14708
Pipeline_datastrt:  2023-11-05T13:17:44.822136235Z
Pipeline_datecomp:  2023-11-05T17:22:52.830874052Z
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      idMegDoli1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/idMegDoli1_1.yaml
InputAssemblyData:  [[id:idMegDoli1_1, sz:526592979, ln:insects, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/insects/Megamerina_dolium/assembly/draft/treeval/idMegDoli1_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7146613406], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/5f/a33a2c26ee37804fd646063b9afd1f/in/m64221e_230923_025739.ccs.bc2004--bc2004.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38717565220], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/92/43d53b6dac47247aaaecf8cfc7c289/in/47691_1#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (idMegDoli1_1)	COMPLETED	-	1	6 GB	1	118ms	18.3%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (idMegDoli1_1)	COMPLETED	-	1	6 GB	1	108ms	30.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	0ms	72.0%	0.0%	6.2 MB
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (insects)	COMPLETED	-	1	6 GB	1	728ms	83.2%	0.0%	3.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	1s	99.9%	0.0%	18.6 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (idMegDoli1_1)	COMPLETED	-	6	36 GB	1	10s	357.5%	1.3%	5 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	5.4s	95.7%	0.1%	239.3 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (idMegDoli1_1)	COMPLETED	-	10	120 GB	1	8s	96.8%	0.2%	787.4 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idMegDoli1_1)	COMPLETED	-	1	6 GB	1	2s	95.9%	0.0%	4.6 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	16s	198.6%	0.8%	3.1 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	10s	89.7%	0.1%	263.5 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	10s	90.2%	0.1%	274.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum22010cds)	COMPLETED	-	6	100 GB	1	18s	246.0%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	11s	91.0%	0.1%	281 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (idMegDoli1_1)	COMPLETED	-	2	12 GB	1	14ms	90.1%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum1001cdna)	COMPLETED	-	6	100 GB	1	24s	326.3%	1.5%	5.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum2000cds)	COMPLETED	-	6	100 GB	1	18s	243.0%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum1397cdna)	COMPLETED	-	6	100 GB	1	20s	268.3%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum14006rna)	COMPLETED	-	6	100 GB	1	21s	267.0%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum8003rna)	COMPLETED	-	6	100 GB	1	20s	283.4%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum24011cds)	COMPLETED	-	6	100 GB	1	18s	243.0%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:RNA_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum20009rna)	COMPLETED	-	6	100 GB	1	19s	277.0%	2.3%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum4001cds)	COMPLETED	-	6	100 GB	1	18s	246.4%	0.6%	4.5 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (DrosophilaMelanogaster1873cdna)	COMPLETED	-	6	100 GB	1	19s	264.7%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum6002cds)	COMPLETED	-	6	100 GB	1	18s	242.9%	1.2%	4.6 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:GEN_ALIGNMENTS:MINIMAP2_ALIGN (DrosophilaMelanogaster1502cdna)	COMPLETED	-	6	100 GB	1	18s	253.0%	1.2%	4.6 GB
