---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   stupefied_torricelli
Pipeline_session:   b54c694b-e2a2-4267-988a-6cc47e12f287
Pipeline_duration:  14109
Pipeline_datastrt:  2023-10-20T17:22:18.383243007+01:00
Pipeline_datecomp:  2023-10-20T21:17:28.184756950+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      idStuBell1_1
InputYamlFile:      idStuBell1.yaml
InputAssemblyData:  [[id:idStuBell1_1, sz:446807457, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/idStuBell1.fa]
Input_PacBio_Files: [[id:pacbio, sz:8881969724], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/99/a9e6b893feb08fbdda5016515a557c/in/m84047_231014_112123_s2.ccs.bc2055.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36767466069], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/01/86d7519fd03fd465530f734e45f0b0/in/47731_3#2.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (idStuBell1_1)	COMPLETED	-	1	6 GB	1	38ms	66.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (idStuBell1_1)	COMPLETED	-	1	6 GB	1	47ms	78.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (idStuBell1_1)	COMPLETED	-	1	6 GB	1	43ms	103.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (idStuBell1_1)	COMPLETED	-	2	12 GB	1	0ms	52.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (idStuBell1_1)	COMPLETED	-	2	12 GB	1	1s	75.6%	0.0%	8.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (idStuBell1_1)	COMPLETED	-	1	6 GB	1	2s	93.3%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (idStuBell1_1)	COMPLETED	-	2	12 GB	1	5s	89.8%	0.1%	402.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	19s	136.3%	0.4%	3.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (idStuBell1_1)	COMPLETED	-	2	12 GB	1	23ms	40.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (idStuBell1_1)	COMPLETED	-	2	12 GB	1	22ms	34.2%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (idStuBell1_1)	COMPLETED	-	2	12 GB	1	21ms	64.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (idStuBell1_1)	COMPLETED	-	2	12 GB	1	2s	140.3%	0.1%	324.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (idStuBell1_1)	COMPLETED	-	1	6 GB	1	1s	57.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (idStuBell1_1)	COMPLETED	-	2	12 GB	1	20ms	71.1%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (idStuBell1_1)	COMPLETED	-	1	6 GB	1	0ms	46.0%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (idStuBell1_1)	COMPLETED	-	2	12 GB	1	17ms	54.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (idStuBell1_1)	COMPLETED	-	2	12 GB	1	58ms	60.7%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (idStuBell1_1)	COMPLETED	-	1	6 GB	1	0ms	31.8%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (idStuBell1_1)	COMPLETED	-	2	12 GB	1	36s	24.4%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (idStuBell1_1)	COMPLETED	-	2	12 GB	1	1m 59s	99.5%	0.3%	1.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (idStuBell1_1)	COMPLETED	-	2	12 GB	1	2m 23s	99.8%	0.2%	368.8 MB
