---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   ridiculous_golick
Pipeline_session:   996e5b10-d0ac-4456-8eb3-01a822c8a694
Pipeline_duration:  169769
Pipeline_datastrt:  2023-11-01T10:24:24.715938406Z
Pipeline_datecomp:  2023-11-03T09:33:54.418215861Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ihAllMode1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ihAllMode1_1.yaml
InputAssemblyData:  [[id:ihAllMode1_1, sz:1867714685, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Allygus_modestus/assembly/draft/treeval/ihAllMode1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:18937466777], /lustre/scratch124/tol/projects/darwin/data/insects/Allygus_modestus/assembly/draft/treeval/ihAllMode1_1/working/work/5f/c892cd956f1040bf18d4eeb7274288/in/m84098_230812_135656_s2.ccs.bc2075.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:306859848856], /lustre/scratch124/tol/projects/darwin/data/insects/Allygus_modestus/assembly/draft/treeval/ihAllMode1_1/working/work/d7/600e17242336c892c7bd944fa2b340/in/47977_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	CACHED	-	1	50 GB	1	24m 16s	99.4%	10.9%	41.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ihAllMode1_1)	CACHED	-	2	12 GB	1	0ms	53.7%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ihAllMode1_1)	CACHED	-	2	12 GB	1	22.6s	96.8%	0.1%	1021.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ihAllMode1_1)	CACHED	-	2	12 GB	1	10m 58s	100.0%	1.2%	5.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ihAllMode1_1)	CACHED	-	1	6 GB	1	8s	78.5%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	CACHED	-	6	36 GB	1	49s	203.8%	1.9%	7.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ihAllMode1_1)	CACHED	-	2	12 GB	1	15m 1s	99.8%	0.3%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ihAllMode1_1)	CACHED	-	1	6 GB	1	78ms	50.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ihAllMode1_1)	CACHED	-	1	6 GB	1	37ms	77.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ihAllMode1_1)	CACHED	-	1	6 GB	1	76ms	51.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ihAllMode1_1)	CACHED	-	2	12 GB	1	9s	26.4%	0.1%	512.9 MB
