---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   determined_ptolemy
Pipeline_session:   ca73859a-7ef6-4890-a400-728d06818acf
Pipeline_duration:  16528
Pipeline_datastrt:  2023-10-07T12:26:20.557977137+01:00
Pipeline_datecomp:  2023-10-07T17:01:48.685061582+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      iiMolAngu1_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/iiMolAngu1_1.yaml
InputAssemblyData:  [[id:iiMolAngu1_1, sz:1013929668, ln:insects, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/insects/Molanna_angustata/assembly/draft/treeval/iiMolAngu1_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6491467848], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/32/8dbbb214cf52edd8a50ca6b9618a9b/in/m64178e_230923_035959.ccs.bc2066--bc2066.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38668318423], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/0f/48ad7d23f64294d7dd62a7af8f04ef/in/47768_4#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (iiMolAngu1_1)	COMPLETED	-	1	6 GB	1	155ms	21.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (iiMolAngu1_1)	COMPLETED	-	1	6 GB	1	141ms	18.7%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	0ms	60.4%	0.0%	3.3 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	1s	99.8%	0.0%	54.8 MB
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (insects)	COMPLETED	-	1	6 GB	1	32ms	38.2%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iiMolAngu1_1)	COMPLETED	-	1	6 GB	1	4s	97.1%	0.0%	4.8 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	10.4s	97.5%	0.0%	105.6 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:GAP_LENGTH (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	16ms	57.9%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GNU_SORT (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	14ms	136.2%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	11ms	68.1%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	18s	94.3%	0.0%	149.8 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (iiMolAngu1_1)	COMPLETED	-	10	120 GB	1	15s	97.4%	0.3%	1.1 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:PEP_ALIGNMENTS:MINIPROT_INDEX (iiMolAngu1_1)	COMPLETED	-	6	36 GB	1	18s	342.7%	1.6%	6.1 GB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	20s	94.8%	0.0%	124.4 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_FA2CMAPMULTICOLOR (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	20s	94.8%	0.0%	143.4 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:GNU_SORT_B (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	13ms	102.4%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iiMolAngu1_1)	COMPLETED	-	1	6 GB	1	1s	86.6%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:TABIX_BGZIPTABIX (iiMolAngu1_1)	COMPLETED	-	1	6 GB	1	1s	39.3%	0.0%	3.1 MB
SANGERTOL_TREEVAL:TREEVAL:INSILICO_DIGEST:MAKECMAP_RENAMECMAPIDS (BSSSI)	COMPLETED	-	2	12 GB	1	1s	92.5%	0.0%	2.9 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	25s	211.5%	1.0%	4.2 GB
SANGERTOL_TREEVAL:TREEVAL:GENE_ALIGNMENT:CDS_ALIGNMENTS:MINIMAP2_ALIGN (CloenDipterum2000cds)	COMPLETED	-	6	100 GB	1	30s	275.8%	0.8%	6.6 GB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_WINDOWS (iiMolAngu1_1)	COMPLETED	-	2	12 GB	1	3s	129.3%	0.1%	377.5 MB
