---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   spontaneous_banach
Pipeline_session:   138cb9c1-bdf0-41bc-b75c-19658f832256
Pipeline_duration:  15579
Pipeline_datastrt:  2023-10-05T11:43:00.411016374+01:00
Pipeline_datecomp:  2023-10-05T16:02:39.873272632+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilDitAngu1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilDitAngu1_1.yaml
InputAssemblyData:  [[id:ilDitAngu1_1, sz:479253162, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Ditula_angustiorana/assembly/draft/treeval/ilDitAngu1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5005683853], /lustre/scratch124/tol/projects/darwin/data/insects/Ditula_angustiorana/assembly/draft/treeval/ilDitAngu1_1/working/work/d4/f7937469835ff38e56897a903062d1/in/m64125e_210417_171953.ccs.bc1001_BAK8A_OA--bc1001_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:40601535700], /lustre/scratch124/tol/projects/darwin/data/insects/Ditula_angustiorana/assembly/draft/treeval/ilDitAngu1_1/working/work/f4/9d57becdbcbbcab118e8d458b8f52d/in/47944_1#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	50ms	74.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	38ms	108.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	46ms	94.5%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	2s	96.6%	0.0%	4.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	0ms	54.1%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	0ms	90.9%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	4.2s	92.7%	0.0%	73.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	11ms	69.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	14s	90.0%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	13s	188.1%	0.5%	3.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	17ms	79.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	13ms	57.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	5s	110.6%	0.0%	302.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	14ms	49.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	0ms	76.9%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilDitAngu1_1)	COMPLETED	-	1	6 GB	1	0ms	56.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilDitAngu1_1)	COMPLETED	-	2	12 GB	1	16ms	57.7%	0.0%	0
