---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   deadly_lamarck
Pipeline_session:   9201833a-1481-4dbe-9150-934b241713fa
Pipeline_duration:  16785
Pipeline_datastrt:  2023-10-05T11:42:55.815580926+01:00
Pipeline_datecomp:  2023-10-05T16:22:40.897095082+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilEpiBrun1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilEpiBrun1_1.yaml
InputAssemblyData:  [[id:ilEpiBrun1_1, sz:974060217, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Epinotia_brunnichana/assembly/draft/treeval/ilEpiBrun1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:[4753826438, 1791655055]], [/lustre/scratch124/tol/projects/darwin/data/insects/Epinotia_brunnichana/assembly/draft/treeval/ilEpiBrun1_1/working/work/4a/f45a0f13fcab4badfe941e7f87f4f6/in/m64125e_210220_154850.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.filtered.fasta.gz, /lustre/scratch124/tol/projects/darwin/data/insects/Epinotia_brunnichana/assembly/draft/treeval/ilEpiBrun1_1/working/work/4a/f45a0f13fcab4badfe941e7f87f4f6/in/m64222e_210521_161455.ccs.bc1020_BAK8B_OA--bc1020_BAK8B_OA.filtered.fasta.gz]]
Input_Cram_Files:   [[id:cram, sz:34776900547], /lustre/scratch124/tol/projects/darwin/data/insects/Epinotia_brunnichana/assembly/draft/treeval/ilEpiBrun1_1/working/work/85/2ca6caa656e28f612550533c5e29da/in/47943_3#5.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilEpiBrun1_1)	COMPLETED	-	1	6 GB	1	41ms	82.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilEpiBrun1_1)	COMPLETED	-	1	6 GB	1	69ms	67.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilEpiBrun1_1)	COMPLETED	-	1	6 GB	1	45ms	78.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	1s	96.4%	0.0%	87.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	0ms	57.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilEpiBrun1_1)	COMPLETED	-	1	6 GB	1	4s	97.0%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	11ms	70.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	10s	97.7%	0.0%	170.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	16ms	92.1%	0.0%	2.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilEpiBrun1_1)	COMPLETED	-	2	12 GB	1	15ms	61.0%	0.0%	0
