---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   cheeky_colden
Pipeline_session:   38d97375-e864-43a9-b24e-1a111d5168ae
Pipeline_duration:  59154
Pipeline_datastrt:  2023-11-13T14:44:50.502834Z
Pipeline_datecomp:  2023-11-14T07:10:45.184708Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilGreAndr1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilGreAndr1_1.yaml
InputAssemblyData:  [[id:ilGreAndr1_1, sz:1423302892, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Greta_andromica/assembly/draft/treeval/ilGreAndr1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7046970397], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Greta_andromica/assembly/draft/treeval/ilGreAndr1_1/working/work/f6/308c074151bfac2bd7b2605fd48ed0/in/m64178e_230718_135411.ccs.bc2027--bc2027.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:42595347020], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Greta_andromica/assembly/draft/treeval/ilGreAndr1_1/working/work/05/1dada5c03ec5aa97aa95633caabbd4/in/47341_1#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	52ms	56.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	52ms	65.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	42ms	69.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	2s	97.3%	0.0%	34.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	6s	96.6%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	1s	17.3%	0.0%	12.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	23ms	68.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	39ms	17.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	19.5s	87.4%	0.0%	64.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	1s	47.3%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	20ms	74.9%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilGreAndr1_1)	COMPLETED	-	1	6 GB	1	0ms	58.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	20s	96.4%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	167ms	91.7%	0.0%	4.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	4s	125.5%	0.0%	383.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilGreAndr1_1)	COMPLETED	-	2	12 GB	1	93ms	38.6%	0.0%	2.8 MB
