---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   romantic_jones
Pipeline_session:   c956fc1b-1a6a-47ca-b846-4f4690a0ebd0
Pipeline_duration:  67158
Pipeline_datastrt:  2023-11-08T15:04:40.912512Z
Pipeline_datecomp:  2023-11-09T09:43:59.163103Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHypAnas2_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHypAnas2.yaml
InputAssemblyData:  [[id:ilHypAnas2_2, sz:1587104790, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_anastasia/assembly/draft/treeval/ilHypAnas2_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7043685133], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_anastasia/assembly/draft/treeval/ilHypAnas2_2/working/work/0f/f751431245c3bfa3c5e262f691e7be/in/m64221e_230821_130502.ccs.bc2060--bc2060.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:28846236405], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_anastasia/assembly/draft/treeval/ilHypAnas2_2/working/work/94/bcf1a5caddb9de29bbaed0b7199945/in/47542_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHypAnas2_1)	COMPLETED	-	1	6 GB	1	45ms	110.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHypAnas2_1)	COMPLETED	-	1	6 GB	1	37ms	92.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHypAnas2_1)	COMPLETED	-	1	6 GB	1	36ms	99.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	0ms	52.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	3s	85.0%	0.0%	67.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHypAnas2_1)	COMPLETED	-	1	6 GB	1	6s	95.7%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	32ms	44.8%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	15.6s	97.1%	0.0%	161.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	57ms	31.6%	0.0%	4.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHypAnas2_1)	COMPLETED	-	2	12 GB	1	86ms	31.3%	0.0%	3.3 MB
