---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   serene_kay
Pipeline_session:   c69e984b-7cb2-4d5a-9d83-2d6428b9d41a
Pipeline_duration:  68145
Pipeline_datastrt:  2023-11-09T13:45:14.931746Z
Pipeline_datecomp:  2023-11-10T08:41:00.084911Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilHypMame5_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilHypMame5.yaml
InputAssemblyData:  [[id:ilHypMame5_2, sz:1293928661, ln:insects, tk:TOL], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_mamercus/assembly/draft/treeval/ilHypMame5_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6832043938], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_mamercus/assembly/draft/treeval/ilHypMame5_2/working/work/44/2962b0f3eeae2ab7c4b71ef0483f78/in/m64094e_230624_035505.ccs.bc2058--bc2058.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:36045895066], /lustre/scratch125/tol/teams/meier/data/assemblies_Sanger/insects/Hypothyris_mamercus/assembly/draft/treeval/ilHypMame5_2/working/work/93/2632ac93b0e047c27879c2afc8d8a7/in/47542_4#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	44ms	84.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	51ms	82.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	41ms	88.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	2s	95.5%	0.0%	54.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	1s	39.9%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	5s	95.5%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	17ms	70.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	23ms	93.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	17ms	114.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	12s	97.3%	0.0%	133 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	19ms	36.2%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	0ms	89.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	0ms	57.0%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	207ms	93.7%	0.0%	8.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	21s	97.3%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	5s	109.9%	0.0%	378.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	22ms	83.1%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	32s	212.6%	1.0%	7.8 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	0ms	34.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	5m 40s	99.9%	0.2%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:FASTK_FASTK (ilHypMame5_1)	COMPLETED	-	25	100 GB	1	4m 43s	819.6%	6.6%	25.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	9m 55s	100.0%	0.0%	197.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	9s	99.9%	0.0%	6.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	8s	96.5%	0.9%	3.3 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	2.3s	100.5%	0.0%	8.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	6.5s	168.4%	0.2%	914.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	7.7s	136.1%	0.0%	9.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAP (ilHypMame5_1)	COMPLETED	-	1	6 GB	1	5s	95.9%	0.0%	9.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REPLACE_DOTS (ilHypMame5_1)	COMPLETED	-	2	12 GB	1	37ms	81.5%	0.0%	8.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:UCSC_BEDGRAPHTOBIGWIG (ilHypMame5_1)	COMPLETED	-	2	20 GB	1	0ms	94.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:MERQURYFK_MERQURYFK (ilHypMame5_1)	COMPLETED	-	6	36 GB	1	6m 47s	373.7%	2.7%	10.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	17m 50s	99.2%	7.6%	28.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_ALIGN (ilHypMame5_1)	COMPLETED	-	16	100 GB	1	4h 27m 21s	1560.9%	1.5%	11.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_MERGE (ilHypMame5)	COMPLETED	-	16	150 GB	1	1m 4s	573.0%	0.0%	20.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_SORT (ilHypMame5)	COMPLETED	-	8	36 GB	1	3m 19s	372.1%	1.6%	6.1 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:SAMTOOLS_VIEW (ilHypMame5)	COMPLETED	-	2	12 GB	1	5m 39s	102.9%	0.0%	11.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:BEDTOOLS_BAMTOBED (ilHypMame5)	COMPLETED	-	6	36 GB	1	2m 48s	100.1%	0.0%	7.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:BEDTOOLS_GENOMECOV (ilHypMame5)	COMPLETED	-	1	6 GB	1	16s	96.9%	0.1%	413 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GNU_SORT (ilHypMame5)	COMPLETED	-	2	12 GB	1	4.5s	181.4%	0.1%	351 MB
