---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   suspicious_fermi
Pipeline_session:   4c69130b-10cd-4bb5-b301-14d3ddb6709c
Pipeline_duration:  17057
Pipeline_datastrt:  2023-10-28T19:30:38.816450400+01:00
Pipeline_datecomp:  2023-10-29T00:14:56.187302161+01:00
Pipeline_entrypnt:  FULL
---INPUT_DATA---
InputSampleID:      ilMalNeus2_1
InputYamlFile:      /nfs/treeoflife-01/teams/tola/users/yy5/TV_yamls/ilMalNeus2_1.yaml
InputAssemblyData:  [[id:ilMalNeus2_1, sz:577242488, ln:insects, tk:VGP], /lustre/scratch124/tol/projects/darwin/data/insects/Malacosoma_neustria/assembly/draft/treeval/ilMalNeus2_1/raw/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:12211010645], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/8f/c15683c7ed2bd7d02acadca0536ce5/in/m84093_231006_095758_s1.ccs.bc2016.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:41195058340], /lustre/scratch123/tol/teams/tola/users/yy5/tv_main/treeval/work/7f/39e4f61d7517dbffebb428283157e6/in/47944_2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
SANGERTOL_TREEVAL:TREEVAL:SYNTENY:GET_SYNTENY_GENOMES (insects)	CACHED	-	1	6 GB	1	32ms	34.4%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GrabFiles (ilMalNeus2_1)	CACHED	-	1	6 GB	1	185ms	12.4%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:HIC_MAPPING:GENERATE_CRAM_CSV (ilMalNeus2_1)	CACHED	-	2	12 GB	1	0ms	59.8%	0.0%	3.5 MB
SANGERTOL_TREEVAL:TREEVAL:LONGREAD_COVERAGE:GrabFiles (ilMalNeus2_1)	CACHED	-	1	6 GB	1	137ms	22.2%	0.0%	0
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilMalNeus2_1)	COMPLETED	-	1	6 GB	1	2s	96.3%	0.0%	4.7 MB
SANGERTOL_TREEVAL:TREEVAL:GAP_FINDER:SEQTK_CUTN (ilMalNeus2_1)	COMPLETED	-	2	12 GB	1	1s	93.7%	0.0%	4.2 MB
SANGERTOL_TREEVAL:TREEVAL:SELFCOMP:SELFCOMP_SPLITFASTA (ilMalNeus2_1)	COMPLETED	-	10	120 GB	1	8s	96.7%	0.2%	641 MB
SANGERTOL_TREEVAL:TREEVAL:TELO_FINDER:FIND_TELOMERE_REGIONS (ilMalNeus2_1)	COMPLETED	-	2	12 GB	1	6.4s	93.9%	0.0%	67.9 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GNU_SORT (ilMalNeus2_1)	COMPLETED	-	2	12 GB	1	21ms	33.9%	0.0%	2.8 MB
SANGERTOL_TREEVAL:TREEVAL:GENERATE_GENOME:GET_LARGEST_SCAFF (ilMalNeus2_1)	COMPLETED	-	2	12 GB	1	17ms	84.6%	0.0%	0
