---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   tender_volta
Pipeline_session:   1cfef989-d836-433e-b616-04a6b1f8194d
Pipeline_duration:  66807
Pipeline_datastrt:  2023-11-09T16:56:46.163599Z
Pipeline_datecomp:  2023-11-10T11:30:13.265374Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilPelMusc1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilPelMusc1.yaml
InputAssemblyData:  [[id:ilPelMusc1_1, sz:508987981, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Pelosia_muscerda/assembly/draft/treeval/ilPelMusc1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:7593933428], /lustre/scratch124/tol/projects/darwin/data/insects/Pelosia_muscerda/assembly/draft/treeval/ilPelMusc1_1/working/work/39/c04629de5730cf15f85cf3361f9815/in/m64089e_231101_223103.ccs.bc2076--bc2076.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:44211281655], /lustre/scratch124/tol/projects/darwin/data/insects/Pelosia_muscerda/assembly/draft/treeval/ilPelMusc1_1/working/work/92/d17525ec8b799e5df1e69e2c4b22f4/in/47768_2#7.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	34ms	96.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	37ms	93.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	42ms	84.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	2s	90.3%	0.0%	4.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	1s	91.0%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	0ms	61.9%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	17ms	39.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	11ms	92.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	4.4s	95.4%	0.0%	69.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	13ms	81.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	0ms	86.8%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	14ms	47.8%	0.0%	2.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	0ms	53.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	50ms	91.4%	0.0%	8.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	20s	96.2%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	5s	104.5%	0.0%	308.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	14s	183.4%	0.9%	3.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	47ms	49.0%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (ilPelMusc1_1)	COMPLETED	-	1	6 GB	1	1s	67.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	2m 29s	99.2%	0.2%	1.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	6m 2s	98.5%	1.5%	11.2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	3m 46s	101.0%	0.0%	201.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (ilPelMusc1_1)	COMPLETED	-	2	12 GB	1	9s	98.9%	0.0%	5.7 MB
