---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   happy_kay
Pipeline_session:   5f3b4fba-c7a7-45ee-b543-3c3aa1567359
Pipeline_duration:  56640
Pipeline_datastrt:  2023-11-06T10:48:44.834959939Z
Pipeline_datecomp:  2023-11-07T02:32:44.997518183Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      ilPolDamc5_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/ilPolDamc5_1.yaml
InputAssemblyData:  [[id:ilPolDamc5_1, sz:1166298564, ln:insects, tk:TOL], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_damocles/assembly/draft/treeval/ilPolDamc5_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6505023294], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_damocles/assembly/draft/treeval/ilPolDamc5_1/working/work/00/b31b151d8c80c3612e5bc50f4df0df/in/m64089e_230804_233304.ccs.bc2042--bc2042.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43859275226], /lustre/scratch124/tol/projects/tol/data/insects/Polyommatus_damocles/assembly/draft/treeval/ilPolDamc5_1/working/work/af/51120aae7c84ace7422827a1c5717a/in/47542_2#8.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (ilPolDamc5_1)	COMPLETED	-	1	6 GB	1	36ms	94.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (ilPolDamc5_1)	COMPLETED	-	1	6 GB	1	36ms	98.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (ilPolDamc5_1)	COMPLETED	-	1	6 GB	1	35ms	97.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	2s	82.4%	0.0%	65.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	0ms	67.2%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	11s	97.3%	0.0%	152.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (ilPolDamc5_1)	COMPLETED	-	1	6 GB	1	9s	95.4%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	13ms	60.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	14ms	45.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	13ms	63.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	20s	97.7%	0.0%	3.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	8s	46.5%	0.1%	379.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (ilPolDamc5_1)	COMPLETED	-	2	12 GB	1	15ms	83.1%	0.0%	2.9 MB
