---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   jovial_goldberg
Pipeline_session:   24885bce-da5f-4c43-8939-833306b35df2
Pipeline_duration:  14849
Pipeline_datastrt:  2023-09-23T14:18:51.515850278+01:00
Pipeline_datecomp:  2023-09-23T18:26:21.416576876+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyAleLepo1_1
InputYamlFile:      iyAleLepo1.yaml
InputAssemblyData:  [[id:iyAleLepo1_1, sz:275715841, ln:insects, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/iyAleLepo1_1.fa]
Input_PacBio_Files: [[id:pacbio, sz:3789296680], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/e9/b3b4117d996f71007b6d9014a0b33e/in/m64229e_230820_170507.ccs.bc1012_BAK8A_OA--bc1012_BAK8A_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:38678347903], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/e0/408fb0ef95453f744e565c76399f25/in/46910_1#3.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyAleLepo1_1)	COMPLETED	-	1	6 GB	1	55ms	79.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyAleLepo1_1)	COMPLETED	-	1	6 GB	1	39ms	90.9%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	0ms	11.1%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	13s	116.2%	0.5%	2 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	2.5s	91.7%	0.0%	55.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyAleLepo1_1)	COMPLETED	-	1	6 GB	1	1s	86.0%	0.0%	6.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	1s	97.3%	0.0%	21 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	24ms	33.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	23ms	47.6%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	21ms	48.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyAleLepo1_1)	COMPLETED	-	1	6 GB	1	0ms	62.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyAleLepo1_1)	COMPLETED	-	2	12 GB	1	23ms	30.9%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyAleLepo1_1)	COMPLETED	-	1	6 GB	1	0ms	54.4%	0.0%	3.2 MB
