---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   trusting_bassi
Pipeline_session:   f51a03a1-3bdf-41d8-8cb7-daef2add671d
Pipeline_duration:  22894
Pipeline_datastrt:  2023-09-29T11:41:48.425842351+01:00
Pipeline_datecomp:  2023-09-29T18:03:23.093778979+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyBomMont4_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyBomMont4_1.yaml
InputAssemblyData:  [[id:iyBomMont4_1, sz:312158042, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_monticola/assembly/draft/treeval/iyBomMont4_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6520287623], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_monticola/assembly/draft/treeval/iyBomMont4_1/working/work/09/3b897e21935c8290f27ef7f344c210/in/m64178e_230318_101254.ccs.bc1022_BAK8B_OA--bc1022_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:50368453810], /lustre/scratch124/tol/projects/darwin/data/insects/Bombus_monticola/assembly/draft/treeval/iyBomMont4_1/working/work/9e/d991c7403c48e5726d54a42f3547da/in/47067_2#1.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	34ms	96.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	51ms	72.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	35ms	77.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	2.3s	90.6%	0.0%	42 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	1s	90.7%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	0ms	59.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	1s	95.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	10ms	67.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	13ms	95.5%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	12ms	65.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	0ms	140.6%	0.0%	4.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	0ms	76.4%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	15ms	85.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	0ms	38.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	17ms	51.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	36ms	69.3%	0.0%	6.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyBomMont4_1)	COMPLETED	-	1	6 GB	1	0ms	54.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	22s	86.2%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	37s	78.3%	0.6%	2.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	1m 2s	98.7%	0.1%	340.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyBomMont4_1)	COMPLETED	-	2	12 GB	1	1m 15s	99.1%	0.0%	102.9 MB
