---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   stupefied_brown
Pipeline_session:   93872275-ab18-4a8d-8896-485e0fbe3ebf
Pipeline_duration:  33456
Pipeline_datastrt:  2023-11-06T10:17:37.860323649Z
Pipeline_datecomp:  2023-11-06T19:35:14.054230287Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyLisNyct1_1
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyLisNyct1_1.yaml
InputAssemblyData:  [[id:iyLisNyct1_1, sz:193941058, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Listrodromus_nycthemerus/assembly/draft/treeval/iyLisNyct1_1/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:5547685129], /lustre/scratch124/tol/projects/darwin/data/insects/Listrodromus_nycthemerus/assembly/draft/treeval/iyLisNyct1_1/working/work/45/bf1b17e19884df5800bd1a1971e0b9/in/m84047_231027_083108_s1.ccs.bc1010_BAK8A_OA.rmdup.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:43468652062], /lustre/scratch124/tol/projects/darwin/data/insects/Listrodromus_nycthemerus/assembly/draft/treeval/iyLisNyct1_1/working/work/bf/79937ccd09df4e04b8fdfc117f76f4/in/47052_3#4.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	43ms	89.6%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	50ms	81.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	50ms	66.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	0ms	76.4%	0.0%	4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	2.3s	77.0%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	1s	94.2%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	7s	176.8%	0.1%	1.5 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	1s	8.4%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	14ms	57.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	17s	96.6%	0.0%	3.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	1s	141.1%	0.0%	5.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	26ms	55.2%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	15ms	54.0%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	18ms	47.8%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	0ms	77.2%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	0ms	55.3%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	15ms	44.4%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	0ms	52.0%	0.0%	3.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	36ms	70.1%	0.0%	6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	1m	100.2%	0.0%	352.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	54s	99.8%	0.0%	102.3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	2s	98.7%	0.0%	5.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyLisNyct1_1)	COMPLETED	-	1	6 GB	1	1s	95.6%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:RENAME_IDS (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	222ms	103.6%	0.0%	8.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_A (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	989ms	183.5%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:REFORMAT_INTERSECT (iyLisNyct1_1)	COMPLETED	-	2	12 GB	1	836ms	136.8%	0.0%	9.8 MB
