---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   nauseous_brattain
Pipeline_session:   605a28e2-3823-483b-b039-bc3f8a16f4ac
Pipeline_duration:  129548
Pipeline_datastrt:  2023-11-14T09:44:05.546374Z
Pipeline_datecomp:  2023-11-15T21:43:13.914798Z
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      iyVenCane3_2
InputYamlFile:      /lustre/scratch123/tol/resources/treeval/treeval_yaml/iyVenCane3_2.yaml
InputAssemblyData:  [[id:iyVenCane3_2, sz:335901652, ln:insects, tk:DTOL], /lustre/scratch124/tol/projects/darwin/data/insects/Venturia_canescens/assembly/draft/treeval/iyVenCane3_2/data/ref.fa]
Input_PacBio_Files: [[id:pacbio, sz:6723509947], /lustre/scratch124/tol/projects/darwin/data/insects/Venturia_canescens/assembly/draft/treeval/iyVenCane3_2/working/work/40/dee86b31f0c230ccc56817d0fc9991/in/m64178e_221118_184038.ccs.bc1017_BAK8B_OA--bc1017_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:37186520752], /lustre/scratch124/tol/projects/darwin/data/insects/Venturia_canescens/assembly/draft/treeval/iyVenCane3_2/working/work/61/f91d19ab3a618c09712abff81d84b8/in/46220_3#6.cram]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:GrabFiles (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	59ms	66.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	49ms	71.4%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	36ms	94.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	0ms	82.4%	0.0%	4.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	0ms	52.7%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	1s	95.8%	0.0%	6.2 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	3s	90.7%	0.0%	78.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	11ms	94.1%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	10s	187.9%	0.7%	2.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	19ms	72.3%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GET_LARGEST_SCAFF (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	14ms	114.3%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	1s	128.5%	0.0%	5.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_MAKEWINDOWS (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	1s	73.9%	0.0%	3 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:TABIX_BGZIPTABIX (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	0ms	54.5%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_B (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	12ms	53.3%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:EXTRACT_TELO (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	20ms	93.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:GNU_SORT_C (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	38ms	68.3%	0.0%	6.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:KMER:CAT_CAT (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	19s	96.5%	0.0%	3.5 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:TABIX_BGZIPTABIX (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	0ms	51.6%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_MKCOUNTS (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	1m 16s	98.8%	0.1%	389.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:WINDOWMASKER_USTAT (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	1m 22s	98.9%	0.0%	132.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:BWAMEM2_INDEX (ref.fa)	COMPLETED	-	1	50 GB	1	2m 47s	98.0%	1.8%	7.4 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:EXTRACT_REPEAT (iyVenCane3_2)	COMPLETED	-	2	12 GB	1	1s	99.0%	0.0%	5.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:REPEAT_DENSITY:BEDTOOLS_INTERSECT (iyVenCane3_2)	COMPLETED	-	1	6 GB	1	3s	97.6%	0.1%	535.6 MB
