---RUN_DATA---
Pipeline_version:   v1.0.0
Pipeline_runname:   gigantic_woese
Pipeline_session:   026f34e8-66b3-425d-bd57-626ae541fabc
Pipeline_duration:  46704
Pipeline_datastrt:  2023-09-27T10:51:24.799813323+01:00
Pipeline_datecomp:  2023-09-27T23:49:49.436740139+01:00
Pipeline_entrypnt:  RAPID
---INPUT_DATA---
InputSampleID:      jhCanCock6_1
InputYamlFile:      jhCanCock6.yaml
InputAssemblyData:  [[id:jhCanCock6_1, sz:237470822, ln:jellyfish, tk:DTOL], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/raw_data/jhCanCock6.fa]
Input_PacBio_Files: [[id:pacbio, sz:5377177807], /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/f9/037d17ce8d4b56bf237c15f70440d3/in/m64125e_230208_230000.ccs.bc1017_BAK8B_OA--bc1017_BAK8B_OA.filtered.fasta.gz]
Input_Cram_Files:   [[id:cram, sz:[41117718222, 41686317698]], [/nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/4f/69a0593aaf0d86662fe7fef979f6ac/in/45206_2#1.cram, /nfs/treeoflife-01/teams/tola/users/dp24/treeval/work/4f/69a0593aaf0d86662fe7fef979f6ac/in/45762_1#4.cram]]
---RESOURCES---
name	status	module	cpus	memory	attempt	realtime	%cpu	%mem	peak_rss
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GrabFiles (jhCanCock6_1)	COMPLETED	-	1	6 GB	1	40ms	99.2%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:GrabFiles (jhCanCock6_1)	COMPLETED	-	1	6 GB	1	49ms	100.7%	0.0%	0
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:HIC_MAPPING:GENERATE_CRAM_CSV (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	0ms	51.7%	0.0%	3.1 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:SEQTK_CUTN (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	1s	67.6%	0.0%	6.6 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GAP_FINDER:GAP_LENGTH (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	74ms	21.4%	0.0%	2.9 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:LONGREAD_COVERAGE:MINIMAP2_INDEX (1)	COMPLETED	-	6	36 GB	1	11s	124.6%	0.5%	1.7 GB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_REGIONS (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	2s	96.7%	0.0%	38.4 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:CUSTOM_GETCHROMSIZES (jhCanCock6_1)	COMPLETED	-	1	6 GB	1	1s	93.0%	0.0%	4.7 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:TELO_FINDER:FIND_TELOMERE_WINDOWS (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	1s	119.3%	0.0%	2.8 MB
RAPID:SANGERTOL_TREEVAL_RAPID:TREEVAL_RAPID:GENERATE_GENOME:GNU_SORT (jhCanCock6_1)	COMPLETED	-	2	12 GB	1	19ms	39.3%	0.0%	2.6 MB
