task_id	hash	native_id	process	tag	status	exit	cpus	memory	time	attempt	submit	start	complete	duration	%cpu	%mem	peak_rss	rchar	wchar
2	e5/00aa66	5337514	SANGERTOL_READMAPPING:READMAPPING:PREPARE_GENOME:UNMASK	GCA_949130495.1	CACHED	0	1	50 MB	30m	1	2023-11-16 23:48:47.611	2023-11-16 23:48:50.575	2023-11-16 23:51:05.581	2m 18s	62.8%	0.0%	13.1 MB	11.1 GB	11.1 GB
3	d2/b37647	5337517	SANGERTOL_READMAPPING:READMAPPING:UNTAR	vectorDB.tar.gz	CACHED	0	1	50 MB	30m	1	2023-11-16 23:48:48.298	2023-11-16 23:48:50.615	2023-11-16 23:49:15.580	27.3s	4.9%	0.0%	2.7 MB	292.8 KB	168.7 KB
1	06/5137ae	5337515	SANGERTOL_READMAPPING:READMAPPING:INPUT_CHECK:SAMPLESHEET_CHECK	GCA_949130495.1.readmapping.samplesheet.csv	CACHED	0	1	50 MB	30m	1	2023-11-16 23:48:47.974	2023-11-16 23:48:50.613	2023-11-16 23:49:50.579	1m 3s	2.6%	0.0%	8.5 MB	3.9 MB	2.5 KB
4	97/c06791	5337665	SANGERTOL_READMAPPING:READMAPPING:PREPARE_GENOME:BWAMEM2_INDEX	GCA_949130495.1.unmasked.fasta	CACHED	0	1	288 GB	6h	1	2023-11-16 23:51:05.940	2023-11-17 00:05:25.625	2023-11-17 02:50:16.170	2h 59m 10s	99.7%	35.0%	264.1 GB	13.9 GB	60.5 GB
6	c9/c6bf25	5337584	SANGERTOL_READMAPPING:READMAPPING:INPUT_CHECK:SAMTOOLS_FLAGSTAT	m64016e_220215_023118.ccs.bc1010_BAK8A_OA--bc1010_BAK8A_OA	CACHED	0	1	1 GB	8h	1	2023-11-16 23:49:50.980	2023-11-16 23:49:55.604	2023-11-16 23:51:30.583	1m 40s	96.3%	0.0%	7.1 MB	6 GB	6.8 KB
5	19/2a0651	5337585	SANGERTOL_READMAPPING:READMAPPING:INPUT_CHECK:SAMTOOLS_FLAGSTAT	45816_3#1	CACHED	0	1	1 GB	8h	1	2023-11-16 23:49:51.284	2023-11-16 23:49:55.608	2023-11-17 01:27:30.936	1h 37m 40s	60.6%	0.0%	24.7 MB	288.7 GB	6.9 KB
7	51/a4618f	5337688	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:SAMTOOLS_CONVERT	daSamNigr1_T2	CACHED	0	1	1 GB	8h	1	2023-11-16 23:51:30.950	2023-11-16 23:51:35.581	2023-11-16 23:58:35.604	7m 5s	78.0%	0.0%	11.1 MB	6 GB	5.7 GB
8	0b/620668	5340045	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIC:SAMTOOLS_FASTQ	daSamNigr1_T1	CACHED	0	1	50 MB	8h	1	2023-11-17 01:27:31.325	2023-11-17 01:27:35.928	2023-11-17 07:23:11.842	5h 55m 41s	99.6%	0.0%	24.7 MB	288.7 GB	465.7 GB
10	21/84d5df	5338139	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:SAMTOOLS_COLLATE	daSamNigr1_T2	CACHED	0	6	1 GB	8h	1	2023-11-16 23:58:36.126	2023-11-16 23:58:40.602	2023-11-17 00:09:45.639	11m 10s	91.2%	0.1%	504.6 MB	11.8 GB	12.3 GB
9	f2/9aafa9	5354007	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIC:BWAMEM2_MEM	daSamNigr1_T1	CACHED	0	30	181.8 GB	2d 2h 24m	1	2023-11-17 07:23:12.237	2023-11-18 17:34:26.905	2023-11-19 11:21:29.327	2d 3h 58m 17s	2920.0%	20.9%	79.4 GB	1.8 TB	1.9 TB
11	2f/af6ae1	5338429	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:SAMTOOLS_FASTA	daSamNigr1_T2	CACHED	0	1	50 MB	8h	1	2023-11-17 00:09:46.075	2023-11-17 00:09:50.637	2023-11-17 00:12:35.649	2m 50s	98.9%	0.0%	10.8 MB	6.1 GB	2.6 GB
13	58/79f795	5338461	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:GUNZIP	daSamNigr1_T2_other.fasta.gz	CACHED	0	1	50 MB	30m	1	2023-11-17 00:12:36.099	2023-11-17 00:12:40.646	2023-11-17 00:14:10.652	1m 35s	98.6%	0.0%	4.5 MB	2.6 GB	8.8 GB
14	da/4058f8	5338478	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:BLAST_BLASTN	daSamNigr1_T2	CACHED	0	1	120 MB	2h	1	2023-11-17 00:14:11.052	2023-11-17 00:14:15.651	2023-11-17 00:44:45.807	30m 35s	78.8%	0.0%	67.2 MB	8.8 GB	595.1 KB
15	a3/b9766b	5338973	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:PACBIO_FILTER	daSamNigr1_T2	CACHED	0	1	50 MB	30m	1	2023-11-17 00:44:46.223	2023-11-17 00:44:50.803	2023-11-17 00:44:50.806	4.6s	15.0%	0.0%	2.8 MB	1.3 MB	714.8 KB
16	80/fe5157	5338974	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:SAMTOOLS_FILTER	daSamNigr1_T2	CACHED	0	1	1 GB	8h	1	2023-11-17 00:44:51.146	2023-11-17 00:44:55.803	2023-11-17 00:45:55.807	1m 5s	95.4%	0.0%	11.9 MB	5.7 GB	17.8 GB
17	a7/48170c	5338994	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:FILTER_PACBIO:SAMTOOLS_FASTQ	daSamNigr1_T2	CACHED	0	1	50 MB	8h	1	2023-11-17 00:45:56.225	2023-11-17 00:46:00.806	2023-11-17 00:48:40.819	2m 45s	98.6%	0.0%	11.1 MB	17.7 GB	6.2 GB
18	f0/8c1a2b	5339047	SANGERTOL_READMAPPING:READMAPPING:ALIGN_HIFI:MINIMAP2_ALIGN	daSamNigr1_T2	CACHED	0	6	76 GB	3h	1	2023-11-17 00:48:41.216	2023-11-17 00:48:45.816	2023-11-17 02:19:01.075	1h 30m 20s	560.7%	16.1%	60.6 GB	49.3 GB	38.2 GB
